,2017,2030,2017 (MO),2030 (MO),,,,,,,,,
309,39.94,44.334,8.06,4.67E-06,,,,,,,,,
310,36.7,35.465,8.1,4.87E-06,,,,,,,,,
311,33.99,35.465,8.16,5.03E-06,,,,,,,,,
312,30.99,34.203,8.17,5.07E-06,,,,,,,,,
313,29.82,31.138,8.17,5.12E-06,,,,,,,,,
314,28.98,29.017,8.22,5.13E-06,,,,,,,,,
315,28.64,7.222,8.3,5.24E-06,,,,,,,,,
316,28.5,28.21,8.3,5.37E-06,,,,,,,,,
317,28.61,32.364,8.31,5.46E-06,,,,,,,,,
318,28.05,35.465,8.33,5.69E-06,,,,,,,,,
319,29.49,36.065,8.35,5.73E-06,,,,,,,,,
320,28.97,44.334,8.4,5.74E-06,,,,,,,,,
321,33.19,55.421,8.44,5.79E-06,,,,,,,,,
322,36.78,54.384,8.45,5.79E-06,,,,,,,,,
323,39.81,44.628,8.46,5.85E-06,,,,,,,,,
324,40.05,52.864,8.49,5.87E-06,,,,,,,,,
325,36.47,44.335,8.5,6.00E-06,,,,,,,,,
326,34.76,44.334,8.51,6.12E-06,,,,,,,,,
327,33.37,44.334,8.51,6.23E-06,,,,,,,,,
328,34.29,46.951,8.56,6.34E-06,,,,,,,,,
329,38.54,61.24,8.6,6.43E-06,,,,,,,,,
330,41.97,61.427,8.71,6.81E-06,,,,,,,,,
331,39.64,72.817,8.71,7.03E-06,,,,,,,,,
332,37.01,61.486,8.76,7.25E-06,,,,,,,,,
333,32.52,61.427,8.8,7.41E-06,,,,,,,,,
334,30.66,61.334,8.8,7.74E-06,,,,,,,,,
335,30.25,61.24,8.8,7.95E-06,,,,,,,,,
336,29.55,0,8.84,8.20E-06,,,,,,,,,
337,28.75,61.995,8.84,8.23E-06,,,,,,,,,
338,28.11,61.995,8.86,8.52E-06,,,,,,,,,
339,26.03,61.995,8.86,8.90E-06,,,,,,,,,
340,19.96,61.995,8.87,8.97E-06,,,,,,,,,
341,22.93,61.995,8.89,9.41E-06,,,,,,,,,
342,22.8,61.995,8.89,9.84E-06,,,,,,,,,
343,14.91,61.995,8.91,1.06E-05,,,,,,,,,
344,20.37,61.995,8.92,1.12E-05,,,,,,,,,
345,33.28,61.995,8.93,1.15E-05,,,,,,,,,
346,33.96,69.683,8.94,1.18E-05,,,,,,,,,
347,35.98,61.995,8.94,1.22E-05,,,,,,,,,
348,44.65,61.995,8.95,1.31E-05,,,,,,,,,
349,41.68,61.995,8.97,1.33E-05,,,,,,,,,
350,36.66,61.995,8.97,1.33E-05,,,,,,,,,
351,35.72,61.995,9,1.48E-05,,,,,,,,,
352,36.35,61.995,9.01,1.49E-05,,,,,,,,,
353,38.71,72.153,9.01,1.66E-05,,,,,,,,,
354,54.35,77.498,9.02,1.94E-05,,,,,,,,,
355,58.02,77.499,9.02,2.02E-05,,,,,,,,,
356,55.12,77.498,9.03,2.04E-05,,,,,,,,,
357,47.91,77.498,9.04,2.23E-05,,,,,,,,,
358,36.92,77.498,9.04,2.25E-05,,,,,,,,,
359,43,73.377,9.04,2.27E-05,,,,,,,,,
360,38.64,61.995,9.04,2.42E-05,,,,,,,,,
361,45.07,61.995,9.05,2.53E-05,,,,,,,,,
362,43.25,61.995,9.05,2.70E-05,,,,,,,,,
363,39.08,61.995,9.07,2.79E-05,,,,,,,,,
364,37.57,61.995,9.08,2.95E-05,,,,,,,,,
365,38.24,61.995,9.09,2.99E-05,,,,,,,,,
366,39.06,61.995,9.12,3.11E-05,,,,,,,,,
367,64.8,77.498,9.12,3.54E-05,,,,,,,,,
368,94.43,82.425,9.12,3.54E-05,,,,,,,,,
369,99.76,123.83,9.12,3.92E-05,,,,,,,,,
370,100.88,93.103,9.13,4.02E-05,,,,,,,,,
371,99.97,77.498,9.16,4.26E-05,,,,,,,,,
372,99.56,77.498,9.18,4.71E-05,,,,,,,,,
373,98.56,77.498,9.18,4.80E-05,,,,,,,,,
374,98.92,76.855,9.19,5.06E-05,,,,,,,,,
375,100.26,77.491,9.19,5.09E-05,,,,,,,,,
376,103.84,77.498,9.2,5.27E-05,,,,,,,,,
377,102.06,93.102,9.2,5.39E-05,,,,,,,,,
378,120,105.28,9.2,5.49E-05,,,,,,,,,
379,124.83,124.07,9.23,5.50E-05,,,,,,,,,
380,113.69,105.28,9.24,5.55E-05,,,,,,,,,
381,88.98,93.103,9.26,5.90E-05,,,,,,,,,
382,73.59,77.498,9.27,6.02E-05,,,,,,,,,
383,55.19,77.498,9.27,6.20E-05,,,,,,,,,
384,45.06,67.556,9.27,6.22E-05,,,,,,,,,
385,45.83,61.995,9.28,6.35E-05,,,,,,,,,
386,41.64,61.995,9.29,6.51E-05,,,,,,,,,
387,34.61,61.994,9.36,6.62E-05,,,,,,,,,
388,36.28,58.8,9.36,6.65E-05,,,,,,,,,
389,35.25,60.69,9.37,6.67E-05,,,,,,,,,
390,39.94,61.995,9.37,6.81E-05,,,,,,,,,
391,58.29,77.498,9.37,6.84E-05,,,,,,,,,
392,111.04,83.193,9.39,6.88E-05,,,,,,,,,
393,121.67,105.29,9.39,6.93E-05,,,,,,,,,
394,125.61,123.96,9.4,7.02E-05,,,,,,,,,
395,121.49,77.498,9.4,7.05E-05,,,,,,,,,
396,117.34,77.498,9.41,7.20E-05,,,,,,,,,
397,106.15,77.498,9.42,7.34E-05,,,,,,,,,
398,101.91,76.86,9.42,7.42E-05,,,,,,,,,
399,100.03,76.86,9.42,7.64E-05,,,,,,,,,
400,103.42,77.498,9.43,7.76E-05,,,,,,,,,
401,110.91,96.109,9.44,7.86E-05,,,,,,,,,
402,142.78,124.75,9.44,7.92E-05,,,,,,,,,
403,143.09,150,9.46,8.37E-05,,,,,,,,,
404,124.94,105.29,9.47,8.42E-05,,,,,,,,,
405,84.97,93.103,9.47,8.42E-05,,,,,,,,,
406,55.08,77.498,9.47,8.64E-05,,,,,,,,,
407,48.95,77.498,9.48,8.66E-05,,,,,,,,,
408,37.74,63.602,9.49,8.66E-05,,,,,,,,,
409,38.28,61.486,9.49,8.68E-05,,,,,,,,,
410,37.74,61.427,9.5,8.98E-05,,,,,,,,,
411,35.09,61.424,9.53,9.03E-05,,,,,,,,,
412,35.07,57.756,9.54,9.06E-05,,,,,,,,,
413,35.07,57.756,9.55,0.00010053,,,,,,,,,
414,36.62,58.061,9.56,0.00010319,,,,,,,,,
415,55.08,62.266,9.58,0.00010637,,,,,,,,,
416,89.64,72.199,9.6,0.00010655,,,,,,,,,
417,91.75,72.198,9.6,0.00011434,,,,,,,,,
418,84.92,63.074,9.63,0.00011635,,,,,,,,,
419,82.93,62.127,9.63,0.0001223,,,,,,,,,
420,85.97,61.486,9.63,0.00012283,,,,,,,,,
421,86.03,57.185,9.63,0.00012412,,,,,,,,,
422,91.02,57.835,9.64,0.00012425,,,,,,,,,
423,89.92,63.602,9.64,0.00012978,,,,,,,,,
424,86.7,57.835,9.65,0.00014015,,,,,,,,,
